city;venue_name;venue_id;rating;likes_cnt;Activity rate;Employment (jobs) in agriculture, fishery (NACE Rev. 2, A);"Employment (jobs) in arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies (NACE Rev. 2, R to U)";Employment (jobs) in construction (NACE Rev. 2, F);Employment (jobs) in financial and insurance activities (NACE Rev. 2, K);Employment (jobs) in information and communication (NACE Rev. 2, J);Employment (jobs) in mining, manufacturing, energy (NACE Rev. 2, B-E);"Employment (jobs) in professional, scientific and technical activities; administrative and support service activities (NACE Rev. 2, M and N)";Employment (jobs) in public administration, defence, education, human health and social work activities (NACE Rev. 2, O to Q);Employment (jobs) in real estate activities (NACE Rev. 2, L);Employment (jobs) in trade, transport, hotels, restaurants (NACE Rev. 2, G to I);Nationals as a proportion of population;Population on the 1st of January, total;Proportion of employment in industries (NACE Rev.1.1 C-E);Proportion of population aged 0-4 years;Proportion of population aged 10-14 years;Proportion of population aged 15-19 years;Proportion of population aged 20-24 years;Proportion of population aged 25-34 years;Proportion of population aged 35-44 years;Proportion of population aged 45-54 years;Proportion of population aged 5-9 years;Proportion of population aged 65-74 years;Proportion of population aged 75 years and over;Proportion of total population aged 55-64;Unemployment rate, female;Unemployment rate, male;Women per 100 men;Young-age dependency ratio (population aged 0-19 to population 20-64 years)
Frankfurt am Main;Restaurant Nassovia;4f6a1f24e4b0faad0aa9fa0b;;0;59.7;0.4592450172585081;42.60267406457279;25.45395633557288;99.5463783911161;52.03794997308797;56.95039886032257;195.88875291546944;151.1746228969122;17.316081073481882;221.6854693805414;71.0;746878.0;6.6;5.5;4.3;4.1;5.8;18.1;15.8;15.1;4.7;7.8;7.8;10.9;2.9;4.5;102.6;28.2
Frankfurt am Main;Pearly Gates;5488a0f6498ea5c58f9d3f08;6.7;31;59.7;0.4592450172585081;42.60267406457279;25.45395633557288;99.5463783911161;52.03794997308797;56.95039886032257;195.88875291546944;151.1746228969122;17.316081073481882;221.6854693805414;71.0;746878.0;6.6;5.5;4.3;4.1;5.8;18.1;15.8;15.1;4.7;7.8;7.8;10.9;2.9;4.5;102.6;28.2
Frankfurt am Main;POSSMANN;578d3c36498e5b17a08debfa;;1;59.7;0.4592450172585081;42.60267406457279;25.45395633557288;99.5463783911161;52.03794997308797;56.95039886032257;195.88875291546944;151.1746228969122;17.316081073481882;221.6854693805414;71.0;746878.0;6.6;5.5;4.3;4.1;5.8;18.1;15.8;15.1;4.7;7.8;7.8;10.9;2.9;4.5;102.6;28.2
Frankfurt am Main;Niddastrand;4bc9bace68f976b0cdb75d83;7.6;14;59.7;0.4592450172585081;42.60267406457279;25.45395633557288;99.5463783911161;52.03794997308797;56.95039886032257;195.88875291546944;151.1746228969122;17.316081073481882;221.6854693805414;71.0;746878.0;6.6;5.5;4.3;4.1;5.8;18.1;15.8;15.1;4.7;7.8;7.8;10.9;2.9;4.5;102.6;28.2
Frankfurt am Main;Neuer Volkswirt;4b105692f964a520316e23e3;6.0;11;59.7;0.4592450172585081;42.60267406457279;25.45395633557288;99.5463783911161;52.03794997308797;56.95039886032257;195.88875291546944;151.1746228969122;17.316081073481882;221.6854693805414;71.0;746878.0;6.6;5.5;4.3;4.1;5.8;18.1;15.8;15.1;4.7;7.8;7.8;10.9;2.9;4.5;102.6;28.2
Frankfurt am Main;Melo-Bar;56ed3e28498e9e11ffc3ed28;;0;59.7;0.4592450172585081;42.60267406457279;25.45395633557288;99.5463783911161;52.03794997308797;56.95039886032257;195.88875291546944;151.1746228969122;17.316081073481882;221.6854693805414;71.0;746878.0;6.6;5.5;4.3;4.1;5.8;18.1;15.8;15.1;4.7;7.8;7.8;10.9;2.9;4.5;102.6;28.2
Frankfurt am Main;Markusquelle;50479314e4b05a8c89dc22a2;;1;59.7;0.4592450172585081;42.60267406457279;25.45395633557288;99.5463783911161;52.03794997308797;56.95039886032257;195.88875291546944;151.1746228969122;17.316081073481882;221.6854693805414;71.0;746878.0;6.6;5.5;4.3;4.1;5.8;18.1;15.8;15.1;4.7;7.8;7.8;10.9;2.9;4.5;102.6;28.2
Frankfurt am Main;Maincafé;4b7817b8f964a5206fb52ee3;8.5;201;59.7;0.4592450172585081;42.60267406457279;25.45395633557288;99.5463783911161;52.03794997308797;56.95039886032257;195.88875291546944;151.1746228969122;17.316081073481882;221.6854693805414;71.0;746878.0;6.6;5.5;4.3;4.1;5.8;18.1;15.8;15.1;4.7;7.8;7.8;10.9;2.9;4.5;102.6;28.2
Frankfurt am Main;MainStrand;4bf92ccd8d30d13a23c60118;7.4;29;59.7;0.4592450172585081;42.60267406457279;25.45395633557288;99.5463783911161;52.03794997308797;56.95039886032257;195.88875291546944;151.1746228969122;17.316081073481882;221.6854693805414;71.0;746878.0;6.6;5.5;4.3;4.1;5.8;18.1;15.8;15.1;4.7;7.8;7.8;10.9;2.9;4.5;102.6;28.2
Frankfurt am Main;Lorsbacher Thal;4c4b4c455609c9b684fdf090;6.6;31;59.7;0.4592450172585081;42.60267406457279;25.45395633557288;99.5463783911161;52.03794997308797;56.95039886032257;195.88875291546944;151.1746228969122;17.316081073481882;221.6854693805414;71.0;746878.0;6.6;5.5;4.3;4.1;5.8;18.1;15.8;15.1;4.7;7.8;7.8;10.9;2.9;4.5;102.6;28.2
Frankfurt am Main;La Diner;59fcf7535c68385737c99f42;;1;59.7;0.4592450172585081;42.60267406457279;25.45395633557288;99.5463783911161;52.03794997308797;56.95039886032257;195.88875291546944;151.1746228969122;17.316081073481882;221.6854693805414;71.0;746878.0;6.6;5.5;4.3;4.1;5.8;18.1;15.8;15.1;4.7;7.8;7.8;10.9;2.9;4.5;102.6;28.2
Frankfurt am Main;L.A. Diner;59fcf6d96dcf047e26a24ae8;;0;59.7;0.4592450172585081;42.60267406457279;25.45395633557288;99.5463783911161;52.03794997308797;56.95039886032257;195.88875291546944;151.1746228969122;17.316081073481882;221.6854693805414;71.0;746878.0;6.6;5.5;4.3;4.1;5.8;18.1;15.8;15.1;4.7;7.8;7.8;10.9;2.9;4.5;102.6;28.2
Frankfurt am Main;Kemtong;4e6a10e8b0fb8b8a84057b96;7.8;21;59.7;0.4592450172585081;42.60267406457279;25.45395633557288;99.5463783911161;52.03794997308797;56.95039886032257;195.88875291546944;151.1746228969122;17.316081073481882;221.6854693805414;71.0;746878.0;6.6;5.5;4.3;4.1;5.8;18.1;15.8;15.1;4.7;7.8;7.8;10.9;2.9;4.5;102.6;28.2
Frankfurt am Main;Ginnheimer Wirtshaus;4baa78ecf964a520366d3ae3;7.2;30;59.7;0.4592450172585081;42.60267406457279;25.45395633557288;99.5463783911161;52.03794997308797;56.95039886032257;195.88875291546944;151.1746228969122;17.316081073481882;221.6854693805414;71.0;746878.0;6.6;5.5;4.3;4.1;5.8;18.1;15.8;15.1;4.7;7.8;7.8;10.9;2.9;4.5;102.6;28.2
Frankfurt am Main;Gasthaus Zum Löwen;4bccfd7d511f95210b17b4c7;7.7;21;59.7;0.4592450172585081;42.60267406457279;25.45395633557288;99.5463783911161;52.03794997308797;56.95039886032257;195.88875291546944;151.1746228969122;17.316081073481882;221.6854693805414;71.0;746878.0;6.6;5.5;4.3;4.1;5.8;18.1;15.8;15.1;4.7;7.8;7.8;10.9;2.9;4.5;102.6;28.2
Frankfurt am Main;Frankfurter Hof „Seppche“;4cdb0907fc9737047562cc05;7.0;23;59.7;0.4592450172585081;42.60267406457279;25.45395633557288;99.5463783911161;52.03794997308797;56.95039886032257;195.88875291546944;151.1746228969122;17.316081073481882;221.6854693805414;71.0;746878.0;6.6;5.5;4.3;4.1;5.8;18.1;15.8;15.1;4.7;7.8;7.8;10.9;2.9;4.5;102.6;28.2
Frankfurt am Main;Brotfabrik;4b058852f964a52099be22e3;7.7;53;59.7;0.4592450172585081;42.60267406457279;25.45395633557288;99.5463783911161;52.03794997308797;56.95039886032257;195.88875291546944;151.1746228969122;17.316081073481882;221.6854693805414;71.0;746878.0;6.6;5.5;4.3;4.1;5.8;18.1;15.8;15.1;4.7;7.8;7.8;10.9;2.9;4.5;102.6;28.2
Frankfurt am Main;BrauStil;52dc459611d2883f10a87078;8.2;59;59.7;0.4592450172585081;42.60267406457279;25.45395633557288;99.5463783911161;52.03794997308797;56.95039886032257;195.88875291546944;151.1746228969122;17.316081073481882;221.6854693805414;71.0;746878.0;6.6;5.5;4.3;4.1;5.8;18.1;15.8;15.1;4.7;7.8;7.8;10.9;2.9;4.5;102.6;28.2
Frankfurt am Main;Biergarten im Brentanobad;502fd3dce4b06a779e4e94e5;;0;59.7;0.4592450172585081;42.60267406457279;25.45395633557288;99.5463783911161;52.03794997308797;56.95039886032257;195.88875291546944;151.1746228969122;17.316081073481882;221.6854693805414;71.0;746878.0;6.6;5.5;4.3;4.1;5.8;18.1;15.8;15.1;4.7;7.8;7.8;10.9;2.9;4.5;102.6;28.2
Frankfurt am Main;Bier-Hannes;4bad06f4f964a520fa253be3;6.7;12;59.7;0.4592450172585081;42.60267406457279;25.45395633557288;99.5463783911161;52.03794997308797;56.95039886032257;195.88875291546944;151.1746228969122;17.316081073481882;221.6854693805414;71.0;746878.0;6.6;5.5;4.3;4.1;5.8;18.1;15.8;15.1;4.7;7.8;7.8;10.9;2.9;4.5;102.6;28.2
Essen;Zur Kluse;4e4fcea9b61cf637a4f9d7c3;8.0;16;53.4;0.46795213518160145;28.31710356483537;23.51416626527915;13.064949356608667;20.397913584839035;50.26285882758278;112.77303635799538;140.83473747542394;5.5640023106208;113.4963909405838;84.7;583393.0;9.9;4.8;4.3;4.6;6.0;14.2;12.0;14.8;4.3;9.9;11.6;13.6;4.9;7.5;106.0;29.7
Essen;Wolperding;4bd9cdf62e6f0f47cc0e0c08;7.4;26;53.4;0.46795213518160145;28.31710356483537;23.51416626527915;13.064949356608667;20.397913584839035;50.26285882758278;112.77303635799538;140.83473747542394;5.5640023106208;113.4963909405838;84.7;583393.0;9.9;4.8;4.3;4.6;6.0;14.2;12.0;14.8;4.3;9.9;11.6;13.6;4.9;7.5;106.0;29.7
Essen;Wechsel Bar Hubertushöhe;4c2f35f3ed37a59326d06603;;3;53.4;0.46795213518160145;28.31710356483537;23.51416626527915;13.064949356608667;20.397913584839035;50.26285882758278;112.77303635799538;140.83473747542394;5.5640023106208;113.4963909405838;84.7;583393.0;9.9;4.8;4.3;4.6;6.0;14.2;12.0;14.8;4.3;9.9;11.6;13.6;4.9;7.5;106.0;29.7
Essen;Wassergarten;4bcb302fcc8cd13a63cfbecf;7.2;15;53.4;0.46795213518160145;28.31710356483537;23.51416626527915;13.064949356608667;20.397913584839035;50.26285882758278;112.77303635799538;140.83473747542394;5.5640023106208;113.4963909405838;84.7;583393.0;9.9;4.8;4.3;4.6;6.0;14.2;12.0;14.8;4.3;9.9;11.6;13.6;4.9;7.5;106.0;29.7
Essen;Panoptikum;4b74549cf964a520b0d52de3;7.9;11;53.4;0.46795213518160145;28.31710356483537;23.51416626527915;13.064949356608667;20.397913584839035;50.26285882758278;112.77303635799538;140.83473747542394;5.5640023106208;113.4963909405838;84.7;583393.0;9.9;4.8;4.3;4.6;6.0;14.2;12.0;14.8;4.3;9.9;11.6;13.6;4.9;7.5;106.0;29.7
Essen;Nefeli;51bf4692498e60d2e18f37af;7.2;6;53.4;0.46795213518160145;28.31710356483537;23.51416626527915;13.064949356608667;20.397913584839035;50.26285882758278;112.77303635799538;140.83473747542394;5.5640023106208;113.4963909405838;84.7;583393.0;9.9;4.8;4.3;4.6;6.0;14.2;12.0;14.8;4.3;9.9;11.6;13.6;4.9;7.5;106.0;29.7
Essen;Malakow;4b74571cf964a52051d62de3;;0;53.4;0.46795213518160145;28.31710356483537;23.51416626527915;13.064949356608667;20.397913584839035;50.26285882758278;112.77303635799538;140.83473747542394;5.5640023106208;113.4963909405838;84.7;583393.0;9.9;4.8;4.3;4.6;6.0;14.2;12.0;14.8;4.3;9.9;11.6;13.6;4.9;7.5;106.0;29.7
Essen;Landgasthaus Brandenburg;4da879c1cda119a2c8fe9f46;6.1;6;53.4;0.46795213518160145;28.31710356483537;23.51416626527915;13.064949356608667;20.397913584839035;50.26285882758278;112.77303635799538;140.83473747542394;5.5640023106208;113.4963909405838;84.7;583393.0;9.9;4.8;4.3;4.6;6.0;14.2;12.0;14.8;4.3;9.9;11.6;13.6;4.9;7.5;106.0;29.7
Essen;KulturForum Steele;4c3de4d3933b0f47f201e621;6.4;5;53.4;0.46795213518160145;28.31710356483537;23.51416626527915;13.064949356608667;20.397913584839035;50.26285882758278;112.77303635799538;140.83473747542394;5.5640023106208;113.4963909405838;84.7;583393.0;9.9;4.8;4.3;4.6;6.0;14.2;12.0;14.8;4.3;9.9;11.6;13.6;4.9;7.5;106.0;29.7
Essen;Jagdhaus Schellenberg;4c239f67f7ced13a9980216d;9.2;48;53.4;0.46795213518160145;28.31710356483537;23.51416626527915;13.064949356608667;20.397913584839035;50.26285882758278;112.77303635799538;140.83473747542394;5.5640023106208;113.4963909405838;84.7;583393.0;9.9;4.8;4.3;4.6;6.0;14.2;12.0;14.8;4.3;9.9;11.6;13.6;4.9;7.5;106.0;29.7
Essen;Heimliche Liebe;4db2b5664df05e5aaaba1376;7.9;8;53.4;0.46795213518160145;28.31710356483537;23.51416626527915;13.064949356608667;20.397913584839035;50.26285882758278;112.77303635799538;140.83473747542394;5.5640023106208;113.4963909405838;84.7;583393.0;9.9;4.8;4.3;4.6;6.0;14.2;12.0;14.8;4.3;9.9;11.6;13.6;4.9;7.5;106.0;29.7
Essen;Gleis 2;50f6debfe4b0159e576f5d41;;6;53.4;0.46795213518160145;28.31710356483537;23.51416626527915;13.064949356608667;20.397913584839035;50.26285882758278;112.77303635799538;140.83473747542394;5.5640023106208;113.4963909405838;84.7;583393.0;9.9;4.8;4.3;4.6;6.0;14.2;12.0;14.8;4.3;9.9;11.6;13.6;4.9;7.5;106.0;29.7
Essen;Fährhaus Rote Mühle;4c1cbf68b4e62d7fe67bdb93;6.1;12;53.4;0.46795213518160145;28.31710356483537;23.51416626527915;13.064949356608667;20.397913584839035;50.26285882758278;112.77303635799538;140.83473747542394;5.5640023106208;113.4963909405838;84.7;583393.0;9.9;4.8;4.3;4.6;6.0;14.2;12.0;14.8;4.3;9.9;11.6;13.6;4.9;7.5;106.0;29.7
Essen;Filou;5793dcf6498e2db41b00a633;;0;53.4;0.46795213518160145;28.31710356483537;23.51416626527915;13.064949356608667;20.397913584839035;50.26285882758278;112.77303635799538;140.83473747542394;5.5640023106208;113.4963909405838;84.7;583393.0;9.9;4.8;4.3;4.6;6.0;14.2;12.0;14.8;4.3;9.9;11.6;13.6;4.9;7.5;106.0;29.7
Essen;Dampfe;4bdc8163c79cc9286ddc86e9;7.6;63;53.4;0.46795213518160145;28.31710356483537;23.51416626527915;13.064949356608667;20.397913584839035;50.26285882758278;112.77303635799538;140.83473747542394;5.5640023106208;113.4963909405838;84.7;583393.0;9.9;4.8;4.3;4.6;6.0;14.2;12.0;14.8;4.3;9.9;11.6;13.6;4.9;7.5;106.0;29.7
Essen;Coppers;5e4867d750aa720008dfeace;;0;53.4;0.46795213518160145;28.31710356483537;23.51416626527915;13.064949356608667;20.397913584839035;50.26285882758278;112.77303635799538;140.83473747542394;5.5640023106208;113.4963909405838;84.7;583393.0;9.9;4.8;4.3;4.6;6.0;14.2;12.0;14.8;4.3;9.9;11.6;13.6;4.9;7.5;106.0;29.7
Essen;Coopers;5e48641c814ae20008d2c1b6;;0;53.4;0.46795213518160145;28.31710356483537;23.51416626527915;13.064949356608667;20.397913584839035;50.26285882758278;112.77303635799538;140.83473747542394;5.5640023106208;113.4963909405838;84.7;583393.0;9.9;4.8;4.3;4.6;6.0;14.2;12.0;14.8;4.3;9.9;11.6;13.6;4.9;7.5;106.0;29.7
Essen;Casino Zollverein Biergarten;5395cddd498e71ebadc15ba4;;2;53.4;0.46795213518160145;28.31710356483537;23.51416626527915;13.064949356608667;20.397913584839035;50.26285882758278;112.77303635799538;140.83473747542394;5.5640023106208;113.4963909405838;84.7;583393.0;9.9;4.8;4.3;4.6;6.0;14.2;12.0;14.8;4.3;9.9;11.6;13.6;4.9;7.5;106.0;29.7
Düsseldorf;Zum Jägerhof;52aca6ea11d22a86da160862;;2;57.8;1.4499092794193884;37.98276308968378;18.69167962674961;47.75628564022809;38.5400466562986;63.69556765163296;195.6664722654225;180.2520736132711;12.457879730430275;182.9979911871436;80.3;617280.0;8.2;5.1;4.1;4.1;5.5;16.2;13.9;15.3;4.4;9.0;10.5;12.2;2.9;4.7;106.9;28.0
Düsseldorf;Tonhalle;4bd711cf4e32d13af49dc380;7.4;26;57.8;1.4499092794193884;37.98276308968378;18.69167962674961;47.75628564022809;38.5400466562986;63.69556765163296;195.6664722654225;180.2520736132711;12.457879730430275;182.9979911871436;80.3;617280.0;8.2;5.1;4.1;4.1;5.5;16.2;13.9;15.3;4.4;9.0;10.5;12.2;2.9;4.7;106.9;28.0
Düsseldorf;Steinroth;5d2a634161bdc40023de3e23;;0;57.8;1.4499092794193884;37.98276308968378;18.69167962674961;47.75628564022809;38.5400466562986;63.69556765163296;195.6664722654225;180.2520736132711;12.457879730430275;182.9979911871436;80.3;617280.0;8.2;5.1;4.1;4.1;5.5;16.2;13.9;15.3;4.4;9.0;10.5;12.2;2.9;4.7;106.9;28.0
Düsseldorf;Schweine Janes;4d567614fb65236ad9b805b4;7.9;163;57.8;1.4499092794193884;37.98276308968378;18.69167962674961;47.75628564022809;38.5400466562986;63.69556765163296;195.6664722654225;180.2520736132711;12.457879730430275;182.9979911871436;80.3;617280.0;8.2;5.1;4.1;4.1;5.5;16.2;13.9;15.3;4.4;9.0;10.5;12.2;2.9;4.7;106.9;28.0
Düsseldorf;Schumacher op'm Carlsplatz;4da969ac93a04642f06556f0;;4;57.8;1.4499092794193884;37.98276308968378;18.69167962674961;47.75628564022809;38.5400466562986;63.69556765163296;195.6664722654225;180.2520736132711;12.457879730430275;182.9979911871436;80.3;617280.0;8.2;5.1;4.1;4.1;5.5;16.2;13.9;15.3;4.4;9.0;10.5;12.2;2.9;4.7;106.9;28.0
Düsseldorf;Peter's Biergarten;4dc02e6f6e8124d25dc6f5a8;6.7;8;57.8;1.4499092794193884;37.98276308968378;18.69167962674961;47.75628564022809;38.5400466562986;63.69556765163296;195.6664722654225;180.2520736132711;12.457879730430275;182.9979911871436;80.3;617280.0;8.2;5.1;4.1;4.1;5.5;16.2;13.9;15.3;4.4;9.0;10.5;12.2;2.9;4.7;106.9;28.0
Düsseldorf;Max Oldtown;53a4687f498ea115342b605c;6.5;6;57.8;1.4499092794193884;37.98276308968378;18.69167962674961;47.75628564022809;38.5400466562986;63.69556765163296;195.6664722654225;180.2520736132711;12.457879730430275;182.9979911871436;80.3;617280.0;8.2;5.1;4.1;4.1;5.5;16.2;13.9;15.3;4.4;9.0;10.5;12.2;2.9;4.7;106.9;28.0
Düsseldorf;Max Bar;50b94566e4b02759406c85eb;5.2;6;57.8;1.4499092794193884;37.98276308968378;18.69167962674961;47.75628564022809;38.5400466562986;63.69556765163296;195.6664722654225;180.2520736132711;12.457879730430275;182.9979911871436;80.3;617280.0;8.2;5.1;4.1;4.1;5.5;16.2;13.9;15.3;4.4;9.0;10.5;12.2;2.9;4.7;106.9;28.0
Düsseldorf;Manhattan Restaurant & Bar;59e79d1d98fbfc0ac5c3bd47;6.1;6;57.8;1.4499092794193884;37.98276308968378;18.69167962674961;47.75628564022809;38.5400466562986;63.69556765163296;195.6664722654225;180.2520736132711;12.457879730430275;182.9979911871436;80.3;617280.0;8.2;5.1;4.1;4.1;5.5;16.2;13.9;15.3;4.4;9.0;10.5;12.2;2.9;4.7;106.9;28.0
Düsseldorf;Kurhaus;53b93170498e41ea4e35bae7;;5;57.8;1.4499092794193884;37.98276308968378;18.69167962674961;47.75628564022809;38.5400466562986;63.69556765163296;195.6664722654225;180.2520736132711;12.457879730430275;182.9979911871436;80.3;617280.0;8.2;5.1;4.1;4.1;5.5;16.2;13.9;15.3;4.4;9.0;10.5;12.2;2.9;4.7;106.9;28.0
Düsseldorf;Hexe Bolker4;5c1e3235cf72a00039a69803;;1;57.8;1.4499092794193884;37.98276308968378;18.69167962674961;47.75628564022809;38.5400466562986;63.69556765163296;195.6664722654225;180.2520736132711;12.457879730430275;182.9979911871436;80.3;617280.0;8.2;5.1;4.1;4.1;5.5;16.2;13.9;15.3;4.4;9.0;10.5;12.2;2.9;4.7;106.9;28.0
Düsseldorf;Greeves;597cefbf5455b250bdcac9ce;;0;57.8;1.4499092794193884;37.98276308968378;18.69167962674961;47.75628564022809;38.5400466562986;63.69556765163296;195.6664722654225;180.2520736132711;12.457879730430275;182.9979911871436;80.3;617280.0;8.2;5.1;4.1;4.1;5.5;16.2;13.9;15.3;4.4;9.0;10.5;12.2;2.9;4.7;106.9;28.0
Düsseldorf;Gasthaus Peters;4c25087f905a0f476ccb6060;6.6;7;57.8;1.4499092794193884;37.98276308968378;18.69167962674961;47.75628564022809;38.5400466562986;63.69556765163296;195.6664722654225;180.2520736132711;12.457879730430275;182.9979911871436;80.3;617280.0;8.2;5.1;4.1;4.1;5.5;16.2;13.9;15.3;4.4;9.0;10.5;12.2;2.9;4.7;106.9;28.0
Düsseldorf;Dauser;4c5a95d35c57c9b674891d4a;8.2;54;57.8;1.4499092794193884;37.98276308968378;18.69167962674961;47.75628564022809;38.5400466562986;63.69556765163296;195.6664722654225;180.2520736132711;12.457879730430275;182.9979911871436;80.3;617280.0;8.2;5.1;4.1;4.1;5.5;16.2;13.9;15.3;4.4;9.0;10.5;12.2;2.9;4.7;106.9;28.0
Düsseldorf;Bootshaus;4e1873691f6eb9559879ce93;;4;57.8;1.4499092794193884;37.98276308968378;18.69167962674961;47.75628564022809;38.5400466562986;63.69556765163296;195.6664722654225;180.2520736132711;12.457879730430275;182.9979911871436;80.3;617280.0;8.2;5.1;4.1;4.1;5.5;16.2;13.9;15.3;4.4;9.0;10.5;12.2;2.9;4.7;106.9;28.0
Düsseldorf;Biergarten Vier Linden;4dcecd29d164679b8d092adb;;5;57.8;1.4499092794193884;37.98276308968378;18.69167962674961;47.75628564022809;38.5400466562986;63.69556765163296;195.6664722654225;180.2520736132711;12.457879730430275;182.9979911871436;80.3;617280.0;8.2;5.1;4.1;4.1;5.5;16.2;13.9;15.3;4.4;9.0;10.5;12.2;2.9;4.7;106.9;28.0
Düsseldorf;Biergarten Nordstrand;4bc5c56d41cb76b0cdc13e6f;;0;57.8;1.4499092794193884;37.98276308968378;18.69167962674961;47.75628564022809;38.5400466562986;63.69556765163296;195.6664722654225;180.2520736132711;12.457879730430275;182.9979911871436;80.3;617280.0;8.2;5.1;4.1;4.1;5.5;16.2;13.9;15.3;4.4;9.0;10.5;12.2;2.9;4.7;106.9;28.0
Düsseldorf;Bastian’s;4b4c68baf964a52073b226e3;7.0;184;57.8;1.4499092794193884;37.98276308968378;18.69167962674961;47.75628564022809;38.5400466562986;63.69556765163296;195.6664722654225;180.2520736132711;12.457879730430275;182.9979911871436;80.3;617280.0;8.2;5.1;4.1;4.1;5.5;16.2;13.9;15.3;4.4;9.0;10.5;12.2;2.9;4.7;106.9;28.0
Duisburg;Stellwerk HOF;4be66f49bcef2d7fc23005e5;6.8;8;53.8;0.5259882355303046;20.007628837003875;22.472947742466523;12.057577643492401;5.910341089317621;73.84513460882135;73.80699042380196;115.21551464535946;5.998674991467748;101.93732308124711;79.8;498110.0;17.1;4.9;4.6;5.1;6.2;13.4;12.1;15.2;4.5;9.3;11.1;13.6;5.8;7.5;102.3;31.6
Duisburg;Hafensturm;4bf70e04b182c9b6240a755a;6.9;6;53.8;0.5259882355303046;20.007628837003875;22.472947742466523;12.057577643492401;5.910341089317621;73.84513460882135;73.80699042380196;115.21551464535946;5.998674991467748;101.93732308124711;79.8;498110.0;17.1;4.9;4.6;5.1;6.2;13.4;12.1;15.2;4.5;9.3;11.1;13.6;5.8;7.5;102.3;31.6
Duisburg;Grammatikoff;4eb5c52329c212fb6c906596;6.7;33;53.8;0.5259882355303046;20.007628837003875;22.472947742466523;12.057577643492401;5.910341089317621;73.84513460882135;73.80699042380196;115.21551464535946;5.998674991467748;101.93732308124711;79.8;498110.0;17.1;4.9;4.6;5.1;6.2;13.4;12.1;15.2;4.5;9.3;11.1;13.6;5.8;7.5;102.3;31.6
Duisburg;Brauhaus Mattlerhof;4eff7398c5126f14b729ad08;;0;53.8;0.5259882355303046;20.007628837003875;22.472947742466523;12.057577643492401;5.910341089317621;73.84513460882135;73.80699042380196;115.21551464535946;5.998674991467748;101.93732308124711;79.8;498110.0;17.1;4.9;4.6;5.1;6.2;13.4;12.1;15.2;4.5;9.3;11.1;13.6;5.8;7.5;102.3;31.6
Dresden;Zschoner Mühle;4d6106a35c39b1f7f8250b4a;8.6;15;59.1;0.9345421287962371;29.97430462807038;23.276450264212297;12.219818825852158;27.838467568666164;61.799547064630396;104.8011875036293;169.5477179025608;7.68865048487312;110.49735787701061;93.0;551072.0;11.3;5.5;4.0;4.1;6.2;17.0;13.0;12.4;4.8;9.4;12.4;11.0;3.5;4.7;100.7;31.1
Dresden;Wirtshaus Lindenschänke;4bdb1d4b63c5c9b665682668;6.9;12;59.1;0.9345421287962371;29.97430462807038;23.276450264212297;12.219818825852158;27.838467568666164;61.799547064630396;104.8011875036293;169.5477179025608;7.68865048487312;110.49735787701061;93.0;551072.0;11.3;5.5;4.0;4.1;6.2;17.0;13.0;12.4;4.8;9.4;12.4;11.0;3.5;4.7;100.7;31.1
Dresden;Wachstube;4c0696158a81c9b693f12590;6.6;5;59.1;0.9345421287962371;29.97430462807038;23.276450264212297;12.219818825852158;27.838467568666164;61.799547064630396;104.8011875036293;169.5477179025608;7.68865048487312;110.49735787701061;93.0;551072.0;11.3;5.5;4.0;4.1;6.2;17.0;13.0;12.4;4.8;9.4;12.4;11.0;3.5;4.7;100.7;31.1
Dresden;Volkshaus Laubegast;4c66d8819cb82d7ff6c691d2;;2;59.1;0.9345421287962371;29.97430462807038;23.276450264212297;12.219818825852158;27.838467568666164;61.799547064630396;104.8011875036293;169.5477179025608;7.68865048487312;110.49735787701061;93.0;551072.0;11.3;5.5;4.0;4.1;6.2;17.0;13.0;12.4;4.8;9.4;12.4;11.0;3.5;4.7;100.7;31.1
Dresden;"Sommerwirtschaft Paul Rackwitz ""Neue Welt""";5ca75e4e1c675b002ce1dcb8;;3;59.1;0.9345421287962371;29.97430462807038;23.276450264212297;12.219818825852158;27.838467568666164;61.799547064630396;104.8011875036293;169.5477179025608;7.68865048487312;110.49735787701061;93.0;551072.0;11.3;5.5;4.0;4.1;6.2;17.0;13.0;12.4;4.8;9.4;12.4;11.0;3.5;4.7;100.7;31.1
Dresden;Sommer's Wirtshaus;51865e0a498e4754c965363b;;2;59.1;0.9345421287962371;29.97430462807038;23.276450264212297;12.219818825852158;27.838467568666164;61.799547064630396;104.8011875036293;169.5477179025608;7.68865048487312;110.49735787701061;93.0;551072.0;11.3;5.5;4.0;4.1;6.2;17.0;13.0;12.4;4.8;9.4;12.4;11.0;3.5;4.7;100.7;31.1
Dresden;Schillergarten;4b69de24f964a5202ab92be3;8.6;136;59.1;0.9345421287962371;29.97430462807038;23.276450264212297;12.219818825852158;27.838467568666164;61.799547064630396;104.8011875036293;169.5477179025608;7.68865048487312;110.49735787701061;93.0;551072.0;11.3;5.5;4.0;4.1;6.2;17.0;13.0;12.4;4.8;9.4;12.4;11.0;3.5;4.7;100.7;31.1
